source_station,AM Rush,Early Morning,Evening,Late Night,Midday,PM Rush,avg
Maverick,0.013772328516227457,0.031030179991818188,0.008843445642417638,0.008551726916288551,0.007622165577287482,0.004712181015788127,0.01242200460997124
Airport,0.008134991856254735,0.01789194907746563,0.0110786725872585,0.019871590177159767,0.007315639054868869,0.004728088074284122,0.011503488471215273
Back Bay,0.005432087561164773,0.004809573914100404,0.014858229411130422,0.017360845931903804,0.005795731950793762,0.006958549662973955,0.009202503072011186
Orient Heights,0.006355140452876332,0.012857091369882417,0.0031862158107216513,0.005267463766257108,0.003874365619556841,0.00161961553151517,0.005526648758468253
Aquarium,0.0008202727655644087,0.0010289651427942354,0.0074892207835217245,0.011341205985784204,0.0018482518598519262,0.0026801964667464984,0.004201352167377166
Chinatown,0.0013231694579866077,0.001261129762680546,0.008135690303274271,0.008666109037068617,0.002867036212938899,0.0029026833532594352,0.004192636354534729
Tufts Medical Center,0.0018910694004506973,0.0020008564963748497,0.004867734814014504,0.006525959107763175,0.002254563562481396,0.0026319233574371853,0.0033620177897536346
Ruggles,0.0019185952323588183,0.0027502871932658605,0.004533391952685643,0.0033161849381884052,0.002571530072885103,0.002343084902440798,0.0029055123819707713
Beachmont,0.0030883199819872163,0.008046367938205796,0.0011945474174766034,0.0018353676034883661,0.0011592044469106808,0.0008490670512161826,0.0026954790732141407
Wood Island,0.002287822941234306,0.006815371602843305,0.0012931132825740603,0.0025679763219556345,0.0016486572287643334,0.0010673521783218188,0.002613382259282243
Downtown Crossing,0.0008715037280741479,0.0007680236605182257,0.0036774688272444463,0.003578847940126726,0.0013969854538431435,0.0016529945574281016,0.001990970694539132
Sullivan Square,0.0012842289140657763,0.0036186076297748324,0.0014577699258132328,0.0015763180541926072,0.0008423508581795747,0.0007041582805351401,0.0015805722770935273
JFK/UMass,0.0011622122628554173,0.0026919611475351296,0.0020138278385274863,0.0008714907421510654,0.0016861626553468512,0.0009659681603861325,0.001565270467800347
Andrew,0.0014724838722641187,0.0029521659571037848,0.000946768324846874,0.0013066560878824286,0.0010550857274146761,0.0007107825762805858,0.001407323757632078
Wonderland,0.0017789849125691773,0.00317925416488634,0.0006348140234425457,0.0005275856509751025,0.0008760122396932919,0.0004667798391047775,0.0012439051384452058
Roxbury Crossing,0.0012837093929965477,0.0009411006729306889,0.00131662716302843,0.001318599069519642,0.0012559035998038204,0.0008732814924278295,0.001164870231784493
Revere Beach,0.001648237295096406,0.0019143349147207507,0.0008189593572831945,0.0009304906180425962,0.0005736758835553982,0.0004170634999891669,0.0010504602614479187
Community College,0.0007277563630973269,0.001024277095676305,0.0015518702336795604,0.001032294085752456,0.001034590159466088,0.0009260895131398394,0.0010494795751352626
Broadway,0.0011217951150099305,0.0009043888742038056,0.0010559941374257767,0.0014191161907719987,0.0006788159424511216,0.0007325160921675972,0.0009854377253383716
Suffolk Downs,0.0008079515013814488,0.0032626666624784636,0.00032333290438732974,0.0008998273761224372,0.000324447634593549,0.00023905588914554057,0.0009762136613514614
Jackson Square,0.00105142786897542,0.0011624488843140698,0.0005372334590888136,0.000739344201840195,0.0008209841013138795,0.00022205592888386097,0.0007555824074027065
