branch,station_name,estimated_annual_boardings,gates_needed,short_haul_exposure,enforcement_score,annual_revenue_recovered,gate_capital,annual_maintenance,net_annual_revenue,break_even_years
B,Allston Street,211941,3,0.74,368777.34,45779.256,225000,11250.0,34529.256,6.516213381487281
B,Amory Street,124573,2,0.84,229214.31999999998,26907.768000000004,150000,7500.0,19407.768000000004,7.728864030114126
B,Babcock Street,135822,2,0.82,247196.03999999998,29337.552000000003,150000,7500.0,21837.552000000003,6.8689017889917325
E,Back of the Hill,63032,2,0.62,102111.84000000001,13614.912000000002,150000,7500.0,6114.912000000002,24.530197654520613
D,Beaconsfield,125435,2,0.84,230800.4,27093.960000000003,150000,7500.0,19593.960000000003,7.6554203438202375
B,Blandford Street,113531,2,0.9,215708.9,24522.696,150000,7500.0,17022.696,8.811765186901065
B,Boston College,131500,2,0.6,210400.0,28404.000000000004,150000,7500.0,20904.000000000004,7.175660160734786
B,Boston University Central,126786,2,0.86,235821.96,27385.776,150000,7500.0,19885.776,7.543080038717121
B,Boston University East,118665,2,0.88,223090.19999999998,25631.64,150000,7500.0,18131.64,8.272831359987293
C,Brandon Hall,78733,2,0.66,130696.78000000001,17006.328,150000,7500.0,9506.328000000001,15.778963233753347
E,Brigham Circle,220259,3,0.78,392061.02,47575.944,225000,11250.0,36325.944,6.193920246091883
D,Brookline Hills,124923,2,0.87,233606.01,26983.368000000002,150000,7500.0,19483.368000000002,7.698874239813157
D,Brookline Village,212268,3,0.9,403309.19999999995,45849.888000000006,225000,11250.0,34599.888000000006,6.5029112232964446
D,Chestnut Hill,137057,2,0.78,243961.46,29604.312,150000,7500.0,22104.312,6.786006277870127
B,Chestnut Hill Avenue,122863,2,0.64,201495.32,26538.408000000003,150000,7500.0,19038.408000000003,7.878810034956703
B,Chiswick Road,142272,2,0.66,236171.52000000002,30730.752,150000,7500.0,23230.752,6.456958431651287
C,Cleveland Circle,98618,2,0.6,157788.80000000002,21301.488,150000,7500.0,13801.488000000001,10.868393321067988
C,Coolidge Corner,466270,4,0.81,843948.7000000001,100714.32,300000,15000.0,85714.32,3.4999986000005596
C,Dean Road,88006,2,0.72,151370.32,19009.296000000002,150000,7500.0,11509.296000000002,13.03294310963937
D,Eliot,87930,2,0.69,148601.69999999998,18992.88,150000,7500.0,11492.880000000001,13.05155887819241
C,Englewood Avenue,126577,2,0.69,213915.13,27340.632000000005,150000,7500.0,19840.632000000005,7.560243040645075
E,Fairbanks Street,94602,2,0.68,158931.36000000002,20434.032,150000,7500.0,12934.032,11.597311650380949
E,Fenway,185019,3,0.88,347835.72,39964.10400000001,225000,11250.0,28714.104000000007,7.835870483717686
E,Fenwood Road,93755,2,0.75,164071.25,20251.08,150000,7500.0,12751.080000000002,11.763709426966185
B,Griggs Street,173143,3,0.76,304731.68,37398.888000000006,225000,11250.0,26148.888000000006,8.604572400937277
B,Harvard Avenue,432964,4,0.78,770675.92,93520.224,300000,15000.0,78520.224,3.8206717291076497
C,Hawes Street,50774,2,0.87,94947.38,10967.184000000001,150000,7500.0,3467.184000000001,43.262774632093354
E,Heath Street,59652,2,0.6,95443.20000000001,12884.832,150000,7500.0,5384.832,27.856022249162088
C,Kent Street,81324,2,0.84,149636.15999999997,17565.984,150000,7500.0,10065.984,14.90167280218208
E,Longwood,170401,3,0.83,311833.83,36806.616,225000,11250.0,25556.616,8.803982499091429
E,Longwood Medical Area,193502,3,0.85,357978.7,41796.432,225000,11250.0,30546.432,7.36583572182833
E,Mission Park,134056,2,0.72,230576.32,28956.096,150000,7500.0,21456.096,6.991020174406378
E,Museum of Fine Arts,179930,3,0.8,323874.0,38864.880000000005,225000,11250.0,27614.880000000005,8.147781196224642
D,Newton Centre,145344,2,0.75,254352.0,31394.304,150000,7500.0,23894.304,6.277646756314811
D,Newton Highlands,118900,2,0.72,204508.0,25682.400000000005,150000,7500.0,18182.400000000005,8.249736008447726
E,Northeastern University,224609,3,0.9,426757.1,48515.544,225000,11250.0,37265.544,6.037748972616635
B,Packard's Corner,220464,3,0.8,396835.2,47620.224,225000,11250.0,36370.224,6.186379275530444
D,Reservoir,159436,3,0.81,288579.16000000003,34438.176,225000,11250.0,23188.176,9.703221158921686
D,Riverside,434555,4,0.6,695288.0,93863.88,300000,15000.0,78863.88,3.804022830223418
E,Riverway,135567,2,0.7,230463.9,29282.472,150000,7500.0,21782.472,6.886270759351831
C,Saint Mary's Street,187690,3,0.9,356611.0,40541.04,225000,11250.0,29291.04,7.681529914950101
E,Saint Paul Street,183836,3,0.65,303329.39999999997,39708.576,225000,11250.0,28458.576,7.9062283369343564
B,South Street,74076,2,0.62,120003.12000000001,16000.416000000001,150000,7500.0,8500.416000000001,17.64619519797619
C,Summit Avenue,136484,2,0.78,242941.52,29480.544,150000,7500.0,21980.544,6.824216907461435
B,Sutherland Road,173301,3,0.68,291145.68000000005,37433.016,225000,11250.0,26183.016000000003,8.593356853923932
C,Tappan Street,135060,2,0.75,236355.0,29172.960000000003,150000,7500.0,21672.960000000003,6.921066619418851
D,Waban,65961,2,0.66,109495.26000000001,14247.576000000001,150000,7500.0,6747.576000000001,22.230205335960644
B,Warren Street,200994,3,0.72,345709.68,43414.704000000005,225000,11250.0,32164.704000000005,6.99524547155789
C,Washington Square,184338,3,0.63,300470.94,39817.008,225000,11250.0,28567.008,7.876218608543113
B,Washington Street,222956,3,0.7,379025.2,48158.496,225000,11250.0,36908.496,6.096157372546418
D,Woodland,75007,2,0.63,122261.40999999999,16201.512000000002,150000,7500.0,8701.512000000002,17.23838339819562
