station_line_source,station_line_destination,line,time_bucket,avg_travel_time_sec,source_avg_gated_entries,dest_avg_gated_entries
"Kendall/MIT, RED","Wollaston, RED",RED,PM Rush,1527.1201629327902,3996.4784415438,212.27111525316278
"Kendall/MIT, RED","Park Street, RED",RED,PM Rush,227.78578199052131,3996.4784415438,1481.5831484137975
"Kendall/MIT, RED","Savin Hill, RED",RED,PM Rush,1072.8388998035364,3996.4784415438,238.29936505546254
"Kendall/MIT, RED","Braintree, RED",RED,PM Rush,2253.19341563786,3996.4784415438,359.482714012384
"Kendall/MIT, RED","Quincy Center, RED",RED,PM Rush,1712.395537525355,3996.4784415438,525.3837929275898
"Kendall/MIT, RED","Quincy Adams, RED",RED,PM Rush,1907.6290983606557,3996.4784415438,259.2750575382662
"Kendall/MIT, RED","Central, RED",RED,PM Rush,67.31554307116104,3996.4784415438,2447.232807242359
"Kendall/MIT, RED","Porter, RED",RED,PM Rush,519.593603010348,3996.4784415438,880.0842703648176
"Kendall/MIT, RED","Charles/MGH, RED",RED,PM Rush,75.14028436018957,3996.4784415438,2496.2700867094736
"Kendall/MIT, RED","Andrew, RED",RED,PM Rush,768.518407960199,3996.4784415438,743.2745738709144
"Kendall/MIT, RED","North Quincy, RED",RED,PM Rush,1382.7026476578412,3996.4784415438,521.6130418351643
"Kendall/MIT, RED","Davis, RED",RED,PM Rush,699.5216165413534,3996.4784415438,969.2313942069007
"Kendall/MIT, RED","Downtown Crossing, RED",RED,PM Rush,341.85809523809525,3996.4784415438,2321.2600091329714
"Kendall/MIT, RED","JFK/UMass, RED",RED,PM Rush,951.4865403788634,3996.4784415438,1303.5281353322644
"Kendall/MIT, RED","Harvard, RED",RED,PM Rush,304.9549718574109,3996.4784415438,3573.8686719769253
"Kendall/MIT, RED","Fields Corner, RED",RED,PM Rush,1329.3457760314343,3996.4784415438,431.0329217510115
"Kendall/MIT, RED","Ashmont, RED",RED,PM Rush,1631.1673228346456,3996.4784415438,679.8960355952769
"Kendall/MIT, RED","Broadway, RED",RED,PM Rush,611.7419047619047,3996.4784415438,988.495661536522
"Kendall/MIT, RED","South Station, RED",RED,PM Rush,445.87654320987656,3996.4784415438,2905.0154705291934
"Kendall/MIT, RED","Shawmut, RED",RED,PM Rush,1456.400785854617,3996.4784415438,169.32807086383983
"Kendall/MIT, RED","Alewife, RED",RED,PM Rush,968.0929577464789,3996.4784415438,1202.888454280997
"Back Bay, ORANGE","Jackson Square, ORANGE",ORANGE,PM Rush,432.4300469483568,3805.417799852553,666.4134783232288
"Back Bay, ORANGE","Tufts Medical Center, ORANGE",ORANGE,PM Rush,62.29495718363464,3805.417799852553,1439.318317368835
"Back Bay, ORANGE","Assembly, ORANGE",ORANGE,PM Rush,905.0828571428572,3805.417799852553,981.673441012909
"Back Bay, ORANGE","Malden Center, ORANGE",ORANGE,PM Rush,1285.0825335892514,3805.417799852553,894.7709846866974
"Back Bay, ORANGE","Community College, ORANGE",ORANGE,PM Rush,651.2297426120115,3805.417799852553,856.776059121023
"Back Bay, ORANGE","Downtown Crossing, ORANGE",ORANGE,PM Rush,236.34,3805.417799852553,2230.230204853247
"Back Bay, ORANGE","Forest Hills, ORANGE",ORANGE,PM Rush,798.2193158953722,3805.417799852553,1243.044977681221
"Back Bay, ORANGE","Wellington, ORANGE",ORANGE,PM Rush,1035.7628571428572,3805.417799852553,720.0322141575427
"Back Bay, ORANGE","Green Street, ORANGE",ORANGE,PM Rush,638.6509054325956,3805.417799852553,401.67817202005415
"Back Bay, ORANGE","Chinatown, ORANGE",ORANGE,PM Rush,149.63142857142856,3805.417799852553,1317.9427239368508
"Back Bay, ORANGE","North Station, ORANGE",ORANGE,PM Rush,504.5195052331113,3805.417799852553,2406.977498955433
"Back Bay, ORANGE","Haymarket, ORANGE",ORANGE,PM Rush,421.37297811607993,3805.417799852553,986.8759631105024
"Back Bay, ORANGE","Sullivan Square, ORANGE",ORANGE,PM Rush,783.1935176358437,3805.417799852553,995.9025869530333
"Back Bay, ORANGE","Stony Brook, ORANGE",ORANGE,PM Rush,544.5030120481928,3805.417799852553,412.95635583339765
"Back Bay, ORANGE","Massachusetts Avenue, ORANGE",ORANGE,PM Rush,82.14727954971858,3805.417799852553,0.0
"Back Bay, ORANGE","State, ORANGE",ORANGE,PM Rush,342.45376549094374,3805.417799852553,0.0
"Back Bay, ORANGE","Oak Grove, ORANGE",ORANGE,PM Rush,1490.8819577735126,3805.417799852553,495.98715255801574
"Back Bay, ORANGE","Ruggles, ORANGE",ORANGE,PM Rush,223.3846153846154,3805.417799852553,2167.7159933416297
"Back Bay, ORANGE","Roxbury Crossing, ORANGE",ORANGE,PM Rush,331.98686679174483,3805.417799852553,807.9204709368757
"Harvard, RED","Andrew, RED",RED,PM Rush,1137.8429423459245,3573.8686719769253,743.2745738709144
"Harvard, RED","Kendall/MIT, RED",RED,PM Rush,301.85673624288427,3573.8686719769253,3996.4784415438
"Harvard, RED","JFK/UMass, RED",RED,PM Rush,1320.9382470119522,3573.8686719769253,1303.5281353322644
"Harvard, RED","Alewife, RED",RED,PM Rush,575.918918918919,3573.8686719769253,1202.888454280997
"Harvard, RED","Wollaston, RED",RED,PM Rush,1898.359918200409,3573.8686719769253,212.27111525316278
"Harvard, RED","Davis, RED",RED,PM Rush,308.8460820895522,3573.8686719769253,969.2313942069007
"Harvard, RED","Quincy Center, RED",RED,PM Rush,2083.753564154786,3573.8686719769253,525.3837929275898
"Harvard, RED","Harvard, RED",RED,PM Rush,109.0,3573.8686719769253,3573.8686719769253
"Harvard, RED","Downtown Crossing, RED",RED,PM Rush,709.2340627973359,3573.8686719769253,2321.2600091329714
"Harvard, RED","South Station, RED",RED,PM Rush,813.1878557874763,3573.8686719769253,2905.0154705291934
"Harvard, RED","Quincy Adams, RED",RED,PM Rush,2279.9814814814813,3573.8686719769253,259.2750575382662
"Harvard, RED","Fields Corner, RED",RED,PM Rush,1697.716796875,3573.8686719769253,431.0329217510115
"Harvard, RED","Braintree, RED",RED,PM Rush,2627.4586776859505,3573.8686719769253,359.482714012384
"Harvard, RED","Shawmut, RED",RED,PM Rush,1824.541015625,3573.8686719769253,169.32807086383983
"Harvard, RED","North Quincy, RED",RED,PM Rush,1753.5705521472394,3573.8686719769253,521.6130418351643
"Harvard, RED","Charles/MGH, RED",RED,PM Rush,444.2258064516129,3573.8686719769253,2496.2700867094736
"Harvard, RED","Savin Hill, RED",RED,PM Rush,1440.802734375,3573.8686719769253,238.29936505546254
"Harvard, RED","Park Street, RED",RED,PM Rush,596.2163187855788,3573.8686719769253,1481.5831484137975
"Harvard, RED","Ashmont, RED",RED,PM Rush,1999.0176125244618,3573.8686719769253,679.8960355952769
"Harvard, RED","Central, RED",RED,PM Rush,153.67298578199052,3573.8686719769253,2447.232807242359
"Harvard, RED","Broadway, RED",RED,PM Rush,978.6260704091342,3573.8686719769253,988.495661536522
"Harvard, RED","Porter, RED",RED,PM Rush,129.75070028011206,3573.8686719769253,880.0842703648176
"South Station, RED","Alewife, RED",RED,PM Rush,1472.3323917137477,2905.0154705291934,1202.888454280997
"South Station, RED","Park Street, RED",RED,PM Rush,140.0721649484536,2905.0154705291934,1481.5831484137975
"South Station, RED","North Quincy, RED",RED,PM Rush,918.150406504065,2905.0154705291934,521.6130418351643
"South Station, RED","Porter, RED",RED,PM Rush,1029.7737983034872,2905.0154705291934,880.0842703648176
"South Station, RED","Kendall/MIT, RED",RED,PM Rush,423.468984962406,2905.0154705291934,3996.4784415438
"South Station, RED","Downtown Crossing, RED",RED,PM Rush,33.90159325210872,2905.0154705291934,2321.2600091329714
"South Station, RED","JFK/UMass, RED",RED,PM Rush,488.38484546360917,2905.0154705291934,1303.5281353322644
"South Station, RED","Harvard, RED",RED,PM Rush,817.3618421052631,2905.0154705291934,3573.8686719769253
"South Station, RED","Andrew, RED",RED,PM Rush,304.4041708043694,2905.0154705291934,743.2745738709144
"South Station, RED","Davis, RED",RED,PM Rush,1209.3107344632767,2905.0154705291934,969.2313942069007
"South Station, RED","Charles/MGH, RED",RED,PM Rush,291.6110590440487,2905.0154705291934,2496.2700867094736
"South Station, RED","Central, RED",RED,PM Rush,580.5840375586854,2905.0154705291934,2447.232807242359
"South Station, RED","Broadway, RED",RED,PM Rush,150.65308056872038,2905.0154705291934,988.495661536522
"South Station, RED","Braintree, RED",RED,PM Rush,1785.858316221766,2905.0154705291934,359.482714012384
"South Station, RED","Ashmont, RED",RED,PM Rush,1168.273622047244,2905.0154705291934,679.8960355952769
"South Station, RED","Fields Corner, RED",RED,PM Rush,867.6365422396857,2905.0154705291934,431.0329217510115
"South Station, RED","Savin Hill, RED",RED,PM Rush,611.656188605108,2905.0154705291934,238.29936505546254
"South Station, RED","Quincy Center, RED",RED,PM Rush,1247.3704453441296,2905.0154705291934,525.3837929275898
"South Station, RED","Wollaston, RED",RED,PM Rush,1062.5121951219512,2905.0154705291934,212.27111525316278
"South Station, RED","South Station, RED",RED,PM Rush,4411.5,2905.0154705291934,2905.0154705291934
"South Station, RED","Quincy Adams, RED",RED,PM Rush,1440.8752556237218,2905.0154705291934,259.2750575382662
"South Station, RED","Shawmut, RED",RED,PM Rush,994.0078585461689,2905.0154705291934,169.32807086383983
"Harvard, RED","Wollaston, RED",RED,Midday,1781.6754098360657,2734.390803293879,397.3506240590688
"Harvard, RED","Braintree, RED",RED,Midday,2508.7495934959347,2734.390803293879,418.640437960856
"Harvard, RED","Davis, RED",RED,Midday,304.719391634981,2734.390803293879,1100.2940884416457
"Harvard, RED","North Quincy, RED",RED,Midday,1653.498371335505,2734.390803293879,674.2340974573606
"Harvard, RED","Park Street, RED",RED,Midday,570.1469696969697,2734.390803293879,854.4866527262684
"Harvard, RED","JFK/UMass, RED",RED,Midday,1253.2372611464968,2734.390803293879,1217.187596859459
"Harvard, RED","Charles/MGH, RED",RED,Midday,435.8201058201058,2734.390803293879,1171.2737071663678
"Harvard, RED","Central, RED",RED,Midday,152.47054380664653,2734.390803293879,1971.587370055919
"Harvard, RED","Broadway, RED",RED,Midday,920.3161094224924,2734.390803293879,745.0713956414581
"Harvard, RED","Porter, RED",RED,Midday,126.65247148288974,2734.390803293879,1013.7744221243809
"Harvard, RED","Downtown Crossing, RED",RED,Midday,671.1193009118541,2734.390803293879,1245.4843093176478
"Harvard, RED","Quincy Adams, RED",RED,Midday,2170.913680781759,2734.390803293879,311.1918733605491
"Harvard, RED","Ashmont, RED",RED,Midday,1939.9810126582279,2734.390803293879,955.2326565008696
"Harvard, RED","Quincy Center, RED",RED,Midday,1970.2475570032573,2734.390803293879,758.6283653805201
"Harvard, RED","Fields Corner, RED",RED,Midday,1645.0283464566928,2734.390803293879,684.1456312784544
