source_station,Early Morning,AM Rush,Midday,PM Rush,Evening,Late Night,avg
Harvard,0.017569275737079247,0.03097036061944345,0.04907646009534013,0.05094368202906608,0.054925069766240335,0.048847142865994536,0.04205533185219396
Back Bay,0.015426476294292755,0.026780195699265655,0.03402113672738231,0.054244297196348774,0.054323996616214676,0.056286644189697393,0.04018045778720026
Copley,0.008587277665676471,0.014787255171454735,0.036326899447391016,0.04682445890704941,0.056942489805316625,0.04786126891980574,0.035221608319449
Maverick,0.06253723961549104,0.044502296109235076,0.036418368871065976,0.025079829240488193,0.02083908855253689,0.021463751742785406,0.03514009568860043
Central,0.01571373774195524,0.03366400639272501,0.03538577176842076,0.03488406022325669,0.039354015751155505,0.035902651616648004,0.03248404058236021
South Station,0.028604607739612875,0.02929811933268539,0.028807424241916315,0.041409519488105166,0.03345962633473699,0.02888145896942764,0.03174345935108073
Forest Hills,0.05671105634076751,0.04655431100765775,0.02829172222695741,0.017718974563156117,0.014664331672265324,0.014112653466065035,0.02967550821281152
Airport,0.036058866140662366,0.02628646390526492,0.027907522618817165,0.020275903309716,0.026106276719006023,0.039822531253159696,0.02940959399110436
Kendall/MIT,0.005455913362764648,0.013135312925876063,0.030967189351027533,0.05696776956535558,0.03861849695683754,0.023865846644258965,0.028168421467686725
Malden Center,0.0494659968474913,0.042832261620380105,0.02655240626664028,0.012754505751745701,0.010543392835459462,0.008608645262176324,0.025126201430648865
North Station,0.015144053711217676,0.021094464711370643,0.016804354137589645,0.021371699099746493,0.028618062474583712,0.041018019933153814,0.02400844234461033
Hynes Convention Center,0.00425623639243428,0.008881610877748537,0.02102413940049105,0.02940404192932706,0.04035762625531678,0.034589171665419964,0.023085471086789613
Kenmore,0.0062612242631781894,0.009575791747296655,0.01618932407094957,0.020052300761651536,0.03152537121236232,0.052566042159625605,0.02269500903584398
Ruggles,0.0145647451384635,0.014562410700739978,0.02355551269329915,0.03089969006416532,0.026213648490766458,0.01828192830352623,0.021346322565160104
Charles/MGH,0.00494847479534641,0.012610614484729376,0.021021855135420986,0.03558306172611866,0.028228824589783135,0.02474957610052998,0.021190401138654755
Alewife,0.025812853941712604,0.04179549135151665,0.02241427170651456,0.0171465637256974,0.011196542456803356,0.008652938750689565,0.021169776988822355
Downtown Crossing,0.004388686158693102,0.006793653629964709,0.02194753861713807,0.03248706276046302,0.030285166434329065,0.02042790132062635,0.019388334820202385
Wonderland,0.0444788280372188,0.027843927835142838,0.017257134180653243,0.008978864737037292,0.008250729993354196,0.008775356342772933,0.019264140187696552
Park Street,0.004449353207979219,0.006779844540076805,0.019830332050071117,0.027307995933266823,0.02926655434871174,0.026917048323226344,0.019091854733888674
Boylston,0.0031319891776458446,0.006453633913669402,0.017372611574567633,0.01973870078680569,0.031103628495503768,0.035109498971789915,0.018818343819997044
