,source_station,time_bucket,avg_gated_entries,short_haul_exposure,n_destinations,BLUE,GREEN,ORANGE,RED,bucket_AM Rush,bucket_Early Morning,bucket_Evening,bucket_Late Night,bucket_PM Rush
0,Airport,AM Rush,1174.0727527897584,1.0,11,1,0,0,0,1.0,0.0,0.0,0.0,0.0
1,Airport,Early Morning,482.0554956624123,1.0,11,1,0,0,0,0.0,1.0,0.0,0.0,0.0
2,Airport,Evening,609.5213277695141,1.0,11,1,0,0,0,0.0,0.0,1.0,0.0,0.0
3,Airport,Late Night,458.4245268680914,1.0,11,1,0,0,0,0.0,0.0,0.0,1.0,0.0
4,Airport,Midday,1554.9221162928845,1.0,11,1,0,0,0,0.0,0.0,0.0,0.0,0.0
5,Airport,PM Rush,1422.422030533306,1.0,11,1,0,0,0,0.0,0.0,0.0,0.0,1.0
6,Alewife,AM Rush,1866.7762907222857,0.2727272727272727,22,0,0,0,1,1.0,0.0,0.0,0.0,0.0
7,Alewife,Early Morning,345.08095880757367,0.2727272727272727,22,0,0,0,1,0.0,1.0,0.0,0.0,0.0
8,Alewife,Evening,261.4134331813808,0.2727272727272727,22,0,0,0,1,0.0,0.0,1.0,0.0,0.0
9,Alewife,Late Night,99.60992503430329,0.2727272727272727,22,0,0,0,1,0.0,0.0,0.0,1.0,0.0
10,Alewife,Midday,1248.8549153251402,0.2727272727272727,22,0,0,0,1,0.0,0.0,0.0,0.0,0.0
11,Alewife,PM Rush,1202.888454280997,0.2727272727272727,22,0,0,0,1,0.0,0.0,0.0,0.0,1.0
12,Allston Street,AM Rush,0.0,0.56,25,0,1,0,0,1.0,0.0,0.0,0.0,0.0
13,Allston Street,Early Morning,0.0,0.4375,32,0,1,0,0,0.0,1.0,0.0,0.0,0.0
14,Allston Street,Evening,0.0,0.5185185185185185,27,0,1,0,0,0.0,0.0,1.0,0.0,0.0
15,Allston Street,Late Night,0.0,0.625,24,0,1,0,0,0.0,0.0,0.0,1.0,0.0
16,Allston Street,Midday,0.0,0.4827586206896552,29,0,1,0,0,0.0,0.0,0.0,0.0,0.0
17,Allston Street,PM Rush,0.0,0.48148148148148145,27,0,1,0,0,0.0,0.0,0.0,0.0,1.0
18,Amory Street,AM Rush,0.0,0.52,25,0,1,0,0,1.0,0.0,0.0,0.0,0.0
19,Amory Street,Early Morning,0.0,0.46875,32,0,1,0,0,0.0,1.0,0.0,0.0,0.0
20,Amory Street,Evening,0.0,0.5185185185185185,27,0,1,0,0,0.0,0.0,1.0,0.0,0.0
21,Amory Street,Late Night,0.0,0.5652173913043478,23,0,1,0,0,0.0,0.0,0.0,1.0,0.0
22,Amory Street,Midday,0.0,0.4642857142857143,28,0,1,0,0,0.0,0.0,0.0,0.0,0.0
23,Amory Street,PM Rush,0.0,0.4642857142857143,28,0,1,0,0,0.0,0.0,0.0,0.0,1.0
24,Andrew,AM Rush,779.6405846415823,0.6666666666666666,21,0,0,0,1,1.0,0.0,0.0,0.0,0.0
25,Andrew,Early Morning,242.8885038441951,0.7142857142857143,21,0,0,0,1,0.0,1.0,0.0,0.0,0.0
